block_definition,subject_id,experiment_id,session_id,run_id,original_block_id,segment_id,shuffled_block_id,stable_block_number,shuffle_seed,n_trials_before,n_trials_after,order_changed,prior_std_unique_count,prior_mean_unique_count
subject_id + session_id + run_id; then split at missing response,1,11,1,1,s01_session001_run001,s01_session001_run001_segment01,s01_session001_run001_segment01,0,20260717,213,213,True,1,1
subject_id + session_id + run_id; then split at missing response,1,11,1,2,s01_session001_run002,s01_session001_run002_segment01,s01_session001_run002_segment01,1,20260718,215,215,True,1,1
subject_id + session_id + run_id; then split at missing response,1,11,1,3,s01_session001_run003,s01_session001_run003_segment01,s01_session001_run003_segment01,2,20260719,215,215,True,1,1
subject_id + session_id + run_id; then split at missing response,1,11,1,4,s01_session001_run004,s01_session001_run004_segment01,s01_session001_run004_segment01,3,20260720,207,207,True,1,1
subject_id + session_id + run_id; then split at missing response,1,11,1,5,s01_session001_run005,s01_session001_run005_segment01,s01_session001_run005_segment01,4,20260721,215,215,True,1,1
subject_id + session_id + run_id; then split at missing response,1,11,2,6,s01_session002_run006,s01_session002_run006_segment01,s01_session002_run006_segment01,5,20260722,213,213,True,1,1
subject_id + session_id + run_id; then split at missing response,1,11,2,7,s01_session002_run007,s01_session002_run007_segment01,s01_session002_run007_segment01,6,20260723,215,215,True,1,1
subject_id + session_id + run_id; then split at missing response,1,11,2,8,s01_session002_run008,s01_session002_run008_segment01,s01_session002_run008_segment01,7,20260724,207,207,True,1,1
subject_id + session_id + run_id; then split at missing response,1,11,2,9,s01_session002_run009,s01_session002_run009_segment01,s01_session002_run009_segment01,8,20260725,215,215,True,1,1
subject_id + session_id + run_id; then split at missing response,1,11,2,10,s01_session002_run010,s01_session002_run010_segment01,s01_session002_run010_segment01,9,20260726,215,215,True,1,1
subject_id + session_id + run_id; then split at missing response,1,11,3,11,s01_session003_run011,s01_session003_run011_segment01,s01_session003_run011_segment01,10,20260727,215,215,True,1,1
subject_id + session_id + run_id; then split at missing response,1,11,3,12,s01_session003_run012,s01_session003_run012_segment01,s01_session003_run012_segment01,11,20260728,213,213,True,1,1
subject_id + session_id + run_id; then split at missing response,1,11,3,13,s01_session003_run013,s01_session003_run013_segment01,s01_session003_run013_segment01,12,20260729,215,215,True,1,1
subject_id + session_id + run_id; then split at missing response,1,11,3,14,s01_session003_run014,s01_session003_run014_segment01,s01_session003_run014_segment01,13,20260730,207,207,True,1,1
subject_id + session_id + run_id; then split at missing response,1,11,3,15,s01_session003_run015,s01_session003_run015_segment01,s01_session003_run015_segment01,14,20260731,215,215,True,1,1
subject_id + session_id + run_id; then split at missing response,1,11,4,16,s01_session004_run016,s01_session004_run016_segment01,s01_session004_run016_segment01,15,20260732,207,207,True,1,1
subject_id + session_id + run_id; then split at missing response,1,11,4,17,s01_session004_run017,s01_session004_run017_segment01,s01_session004_run017_segment01,16,20260733,215,215,True,1,1
subject_id + session_id + run_id; then split at missing response,1,11,4,18,s01_session004_run018,s01_session004_run018_segment01,s01_session004_run018_segment01,17,20260734,213,213,True,1,1
subject_id + session_id + run_id; then split at missing response,1,11,4,19,s01_session004_run019,s01_session004_run019_segment01,s01_session004_run019_segment01,18,20260735,215,215,True,1,1
subject_id + session_id + run_id; then split at missing response,1,11,4,20,s01_session004_run020,s01_session004_run020_segment01,s01_session004_run020_segment01,19,20260736,215,215,True,1,1
subject_id + session_id + run_id; then split at missing response,1,11,5,21,s01_session005_run021,s01_session005_run021_segment01,s01_session005_run021_segment01,20,20260737,215,215,True,1,1
subject_id + session_id + run_id; then split at missing response,1,11,5,22,s01_session005_run022,s01_session005_run022_segment01,s01_session005_run022_segment01,21,20260738,207,207,True,1,1
subject_id + session_id + run_id; then split at missing response,1,11,5,23,s01_session005_run023,s01_session005_run023_segment01,s01_session005_run023_segment01,22,20260739,213,213,True,1,1
subject_id + session_id + run_id; then split at missing response,1,11,5,24,s01_session005_run024,s01_session005_run024_segment01,s01_session005_run024_segment01,23,20260740,215,215,True,1,1
subject_id + session_id + run_id; then split at missing response,1,11,5,25,s01_session005_run025,s01_session005_run025_segment01,s01_session005_run025_segment01,24,20260741,215,215,True,1,1
subject_id + session_id + run_id; then split at missing response,1,12,6,26,s01_session006_run026,s01_session006_run026_segment01,s01_session006_run026_segment01,25,20260742,202,202,True,1,1
subject_id + session_id + run_id; then split at missing response,1,12,6,27,s01_session006_run027,s01_session006_run027_segment01,s01_session006_run027_segment01,26,20260743,226,226,True,1,1
