subject_id,original_block_id,segment_id,fold_id,n_trials
1,s01_session001_run001,s01_session001_run001_segment01,3,213
1,s01_session001_run002,s01_session001_run002_segment01,3,215
1,s01_session001_run003,s01_session001_run003_segment01,1,215
1,s01_session001_run004,s01_session001_run004_segment01,2,207
1,s01_session001_run005,s01_session001_run005_segment01,1,215
1,s01_session002_run006,s01_session002_run006_segment01,4,213
1,s01_session002_run007,s01_session002_run007_segment01,4,215
1,s01_session002_run008,s01_session002_run008_segment01,3,207
1,s01_session002_run009,s01_session002_run009_segment01,4,215
1,s01_session002_run010,s01_session002_run010_segment01,4,215
1,s01_session003_run011,s01_session003_run011_segment01,4,215
1,s01_session003_run012,s01_session003_run012_segment01,1,213
1,s01_session003_run013,s01_session003_run013_segment01,2,215
1,s01_session003_run014,s01_session003_run014_segment01,2,207
1,s01_session003_run015,s01_session003_run015_segment01,1,215
1,s01_session004_run016,s01_session004_run016_segment01,1,207
1,s01_session004_run017,s01_session004_run017_segment01,2,215
1,s01_session004_run018,s01_session004_run018_segment01,2,213
1,s01_session004_run019,s01_session004_run019_segment01,3,215
1,s01_session004_run020,s01_session004_run020_segment01,3,215
1,s01_session005_run021,s01_session005_run021_segment01,4,215
1,s01_session005_run022,s01_session005_run022_segment01,1,207
1,s01_session005_run023,s01_session005_run023_segment01,4,213
1,s01_session005_run024,s01_session005_run024_segment01,2,215
1,s01_session005_run025,s01_session005_run025_segment01,4,215
1,s01_session006_run026,s01_session006_run026_segment01,4,202
1,s01_session006_run027,s01_session006_run027_segment01,2,226
1,s01_session006_run028,s01_session006_run028_segment01,1,204
1,s01_session006_run029,s01_session006_run029_segment01,1,221
1,s01_session006_run030,s01_session006_run030_segment01,2,226
1,s01_session007_run031,s01_session007_run031_segment01,3,204
1,s01_session007_run032,s01_session007_run032_segment01,3,226
1,s01_session007_run033,s01_session007_run033_segment01,3,226
1,s01_session007_run034,s01_session007_run034_segment01,4,202
1,s01_session007_run035,s01_session007_run035_segment01,3,221
1,s01_session008_run036,s01_session008_run036_segment01,3,202
1,s01_session008_run037,s01_session008_run037_segment01,1,226
1,s01_session008_run038,s01_session008_run038_segment01,2,204
1,s01_session008_run039,s01_session008_run039_segment01,2,221
1,s01_session008_run040,s01_session008_run040_segment01,1,226
2,s02_session001_run001,s02_session001_run001_segment01,2,213
2,s02_session001_run002,s02_session001_run002_segment01,2,215
2,s02_session001_run003,s02_session001_run003_segment01,2,215
2,s02_session001_run004,s02_session001_run004_segment01,4,207
2,s02_session001_run005,s02_session001_run005_segment01,4,215
2,s02_session002_run006,s02_session002_run006_segment01,1,213
2,s02_session002_run007,s02_session002_run007_segment01,4,215
2,s02_session002_run008,s02_session002_run008_segment01,4,215
2,s02_session002_run009,s02_session002_run009_segment01,2,207
2,s02_session002_run010,s02_session002_run010_segment01,4,215
2,s02_session003_run011,s02_session003_run011_segment01,2,215
2,s02_session003_run012,s02_session003_run012_segment01,4,213
2,s02_session003_run013,s02_session003_run013_segment01,1,215
2,s02_session003_run014,s02_session003_run014_segment01,1,207
2,s02_session003_run015,s02_session003_run015_segment01,3,215
2,s02_session004_run016,s02_session004_run016_segment01,4,215
2,s02_session004_run017,s02_session004_run017_segment01,3,213
2,s02_session004_run018,s02_session004_run018_segment01,3,215
2,s02_session004_run019,s02_session004_run019_segment01,3,207
2,s02_session004_run020,s02_session004_run020_segment01,1,215
2,s02_session005_run020,s02_session005_run020_segment01,1,207
2,s02_session005_run022,s02_session005_run022_segment01,3,215
2,s02_session005_run023,s02_session005_run023_segment01,3,213
2,s02_session005_run024,s02_session005_run024_segment01,3,215
2,s02_session005_run025,s02_session005_run025_segment01,1,215
2,s02_session006_run026,s02_session006_run026_segment01,1,215
2,s02_session006_run027,s02_session006_run027_segment01,2,215
2,s02_session006_run028,s02_session006_run028_segment01,2,207
2,s02_session006_run029,s02_session006_run029_segment01,3,215
2,s02_session007_run030,s02_session007_run030_segment01,4,213
2,s02_session007_run031,s02_session007_run031_segment01,1,215
2,s02_session007_run032,s02_session007_run032_segment01,3,215
2,s02_session007_run033,s02_session007_run033_segment01,3,207
2,s02_session008_run031,s02_session008_run031_segment01,2,213
2,s02_session008_run033,s02_session008_run033_segment01,2,215
2,s02_session008_run035,s02_session008_run035_segment01,2,215
2,s02_session008_run037,s02_session008_run037_segment01,4,207
3,s03_session001_run001,s03_session001_run001_segment01,4,207
3,s03_session001_run002,s03_session001_run002_segment01,3,215
3,s03_session001_run003,s03_session001_run003_segment01,1,213
3,s03_session001_run004,s03_session001_run004_segment01,2,215
3,s03_session001_run005,s03_session001_run005_segment01,3,215
3,s03_session002_run006,s03_session002_run006_segment01,1,213
3,s03_session002_run007,s03_session002_run007_segment01,1,215
3,s03_session002_run008,s03_session002_run008_segment01,2,215
3,s03_session002_run009,s03_session002_run009_segment01,3,207
3,s03_session002_run010,s03_session002_run010_segment01,2,215
3,s03_session003_run011,s03_session003_run011_segment01,1,207
3,s03_session003_run012,s03_session003_run012_segment01,3,215
3,s03_session003_run013,s03_session003_run013_segment01,4,215
3,s03_session003_run014,s03_session003_run014_segment01,2,213
3,s03_session003_run015,s03_session003_run015_segment01,3,215
3,s03_session004_run016,s03_session004_run016_segment01,4,215
3,s03_session004_run017,s03_session004_run017_segment01,2,207
3,s03_session004_run018,s03_session004_run018_segment01,3,213
3,s03_session004_run019,s03_session004_run019_segment01,3,215
3,s03_session004_run020,s03_session004_run020_segment01,1,215
3,s03_session005_run021,s03_session005_run021_segment01,4,215
3,s03_session005_run022,s03_session005_run022_segment01,4,213
3,s03_session005_run023,s03_session005_run023_segment01,2,215
3,s03_session005_run024,s03_session005_run024_segment01,2,207
3,s03_session005_run025,s03_session005_run025_segment01,4,215
3,s03_session006_run026,s03_session006_run026_segment01,4,213
3,s03_session006_run027,s03_session006_run027_segment01,4,215
3,s03_session006_run028,s03_session006_run028_segment01,4,207
3,s03_session006_run029,s03_session006_run029_segment01,3,215
3,s03_session007_run030,s03_session007_run030_segment01,1,204
3,s03_session007_run031,s03_session007_run031_segment01,1,202
3,s03_session007_run032,s03_session007_run032_segment01,2,226
3,s03_session007_run033,s03_session007_run033_segment01,1,221
3,s03_session007_run034,s03_session007_run034_segment01,4,226
3,s03_session008_run035,s03_session008_run035_segment01,2,221
3,s03_session008_run036,s03_session008_run036_segment01,1,226
3,s03_session008_run037,s03_session008_run037_segment01,3,202
3,s03_session008_run038,s03_session008_run038_segment01,3,204
3,s03_session008_run039,s03_session008_run039_segment01,1,226
3,s03_session009_run040,s03_session009_run040_segment01,3,221
3,s03_session009_run041,s03_session009_run041_segment01,1,226
3,s03_session009_run042,s03_session009_run042_segment01,2,226
3,s03_session009_run043,s03_session009_run043_segment01,1,202
3,s03_session009_run044,s03_session009_run044_segment01,2,204
4,s04_session001_run001,s04_session001_run001_segment01,2,215
4,s04_session001_run002,s04_session001_run002_segment01,4,207
4,s04_session001_run003,s04_session001_run003_segment01,3,215
4,s04_session001_run004,s04_session001_run004_segment01,1,215
4,s04_session002_run005,s04_session002_run005_segment01,1,215
4,s04_session002_run006,s04_session002_run006_segment01,2,207
4,s04_session002_run007,s04_session002_run007_segment01,3,213
4,s04_session002_run008,s04_session002_run008_segment01,4,215
4,s04_session002_run009,s04_session002_run009_segment01,1,215
4,s04_session003_run010,s04_session003_run010_segment01,3,207
4,s04_session003_run011,s04_session003_run011_segment01,1,215
4,s04_session003_run012,s04_session003_run012_segment01,2,215
4,s04_session003_run013,s04_session003_run013_segment01,2,213
4,s04_session004_run014,s04_session004_run014_segment01,3,215
4,s04_session004_run015,s04_session004_run015_segment01,1,213
4,s04_session004_run016,s04_session004_run016_segment01,4,215
4,s04_session004_run017,s04_session004_run017_segment01,3,207
4,s04_session004_run018,s04_session004_run018_segment01,2,215
4,s04_session005_run019,s04_session005_run019_segment01,1,215
4,s04_session005_run020,s04_session005_run020_segment01,3,145
4,s04_session005_run021,s04_session005_run021_segment01,4,213
4,s04_session005_run022,s04_session005_run022_segment01,1,207
4,s04_session005_run023,s04_session005_run023_segment01,4,187
5,s05_session001_run001,s05_session001_run001_segment01,3,215
5,s05_session001_run002,s05_session001_run002_segment01,1,215
5,s05_session001_run003,s05_session001_run003_segment01,2,207
5,s05_session001_run004,s05_session001_run004_segment01,4,213
5,s05_session002_run005,s05_session002_run005_segment01,1,215
5,s05_session002_run006,s05_session002_run006_segment01,4,207
5,s05_session002_run007,s05_session002_run007_segment01,2,215
5,s05_session002_run008,s05_session002_run008_segment01,2,215
5,s05_session003_run009,s05_session003_run009_segment01,2,213
5,s05_session003_run010,s05_session003_run010_segment01,3,215
5,s05_session003_run011,s05_session003_run011_segment01,1,207
5,s05_session003_run012,s05_session003_run012_segment01,1,215
5,s05_session004_run013,s05_session004_run013_segment01,4,226
5,s05_session004_run014,s05_session004_run014_segment01,4,204
5,s05_session004_run015,s05_session004_run015_segment01,3,221
5,s05_session004_run016,s05_session004_run016_segment01,3,202
5,s05_session004_run017,s05_session004_run017_segment01,1,226
5,s05_session005_run018,s05_session005_run018_segment01,2,202
5,s05_session005_run019,s05_session005_run019_segment01,2,204
5,s05_session005_run020,s05_session005_run020_segment01,4,226
